Country or Area,Year,Quantity
Canada,2000,6564
Canada,1999,6402
Canada,1998,7234
Canada,1997,6821
Canada,1996,6363
Canada,1995,5935
Canada,1994,6298
Canada,1993,6724
Canada,1992,6967
Canada,1991,7587
Canada,1990,8223
Chile,2014,1185
Chile,2013,1252
Chile,2012,1192
Chile,2011,1238
Chile,2010,1401
Chile,2009,1802
Chile,2008,1906
Chile,2007,2445
Chile,2006,2646
Chile,2005,2306
Chile,2004,2294
Chile,2003,1814
Chile,2002,1368
Chile,2001,1574
Chile,2000,1592
Chile,1999,1425
Chile,1998,1576
Chile,1997,1663
Chile,1996,1655
Chile,1995,1737
Chile,1994,1601
Chile,1993,1553
Chile,1992,1581
Chile,1991,1451
Chile,1990,1562
China,2014,35416.8
China,2013,27758.9
China,2012,22532.3
China,2011,22818
China,2010,24869.7
China,2009,13534
China,2008,17374
China,2007,19672
China,2006,17847
China,2005,17674
China,2004,20293
China,2003,20048
China,2002,18455
China,2001,18644
China,2000,20537
China,1999,19594
China,1998,21004
China,1997,23112
China,1996,25045
China,1995,29607
China,1994,30490
China,1993,31959
China,1992,32322
China,1991,32440
China,1990,32679
Colombia,2014,4521
Colombia,2013,4333
Colombia,2012,4093
Colombia,2011,3923
Colombia,2010,3871
Colombia,2009,3251
Colombia,2008,3318
Colombia,2007,3318
Colombia,2006,2792.0228
Colombia,2005,3056.1823
Colombia,2004,3330
Colombia,2003,2932
Colombia,2002,3136
Colombia,2001,2986
Colombia,2000,2922
Colombia,1999,3123
Colombia,1998,2817
Colombia,1997,2979
Colombia,1996,2890
Colombia,1995,3027
Colombia,1994,3002
Colombia,1993,3120
Colombia,1992,3639
Colombia,1991,4120
Colombia,1990,3753
Congo,2014,332
Congo,2013,321
Congo,2012,272
Congo,2011,197
Congo,2010,227
Congo,2009,349
Congo,2008,327
Congo,2007,437
Congo,2006,377
Congo,2005,294
Congo,2004,295
Congo,2003,287
Congo,2002,228
Congo,2001,267
Congo,2000,209
Congo,1999,0
Congo,1998,0
Congo,1997,107
Congo,1996,165
Congo,1995,243
Congo,1994,145
Congo,1993,270
